method,noise_pm,n_total,threshold,conv_fmax_pct,conv_fnorm_pct,conv_fmax_nosad_pct,conv_fnorm_nosad_pct,median_steps,median_wall_s,median_calls
GAD dt=0.005 (5k),200,287,0.01,43.20557491289198,52.613240418118465,43.20557491289198,54.00696864111498,5000.0,306.8564655780792,5000.0
GAD dt=0.005 (5k),200,287,0.005,0.0,7.317073170731708,0.0,7.665505226480836,5000.0,306.8564655780792,5000.0
GAD dt=0.005 (5k),200,287,0.001,0.0,0.0,0.0,0.0,5000.0,306.8564655780792,5000.0
GAD dt=0.005 (5k),200,287,0.0001,0.0,0.0,0.0,0.0,5000.0,306.8564655780792,5000.0
GAD dt=0.006 (5k),10,287,0.05,98.60627177700349,98.95470383275261,99.65156794425087,100.0,87.0,5.488530397415161,87.0
GAD dt=0.006 (5k),10,287,0.01,89.19860627177701,95.81881533101046,89.19860627177701,96.16724738675958,87.0,5.488530397415161,87.0
GAD dt=0.006 (5k),10,287,0.005,0.0,17.421602787456447,0.0,17.421602787456447,87.0,5.488530397415161,87.0
GAD dt=0.006 (5k),10,287,0.001,0.0,0.0,0.0,0.0,87.0,5.488530397415161,87.0
GAD dt=0.006 (5k),10,287,0.0001,0.0,0.0,0.0,0.0,87.0,5.488530397415161,87.0
GAD dt=0.006 (5k),30,287,0.05,98.25783972125436,98.60627177700349,99.30313588850174,99.65156794425087,179.0,11.279844045639038,179.0
GAD dt=0.006 (5k),30,287,0.01,88.85017421602788,95.47038327526133,88.85017421602788,95.81881533101046,179.0,11.279844045639038,179.0
GAD dt=0.006 (5k),30,287,0.005,0.0,17.073170731707318,0.0,17.073170731707318,179.0,11.279844045639038,179.0
GAD dt=0.006 (5k),30,287,0.001,0.0,0.0,0.0,0.0,179.0,11.279844045639038,179.0
GAD dt=0.006 (5k),30,287,0.0001,0.0,0.0,0.0,0.0,179.0,11.279844045639038,179.0
GAD dt=0.006 (5k),50,287,0.05,95.1219512195122,96.51567944250871,96.16724738675958,98.25783972125436,254.0,15.97615361213684,254.0
GAD dt=0.006 (5k),50,287,0.01,85.71428571428571,91.98606271777004,85.71428571428571,92.33449477351917,254.0,15.97615361213684,254.0
GAD dt=0.006 (5k),50,287,0.005,0.0,13.937282229965156,0.0,13.937282229965156,254.0,15.97615361213684,254.0
GAD dt=0.006 (5k),50,287,0.001,0.0,0.0,0.0,0.0,254.0,15.97615361213684,254.0
GAD dt=0.006 (5k),50,287,0.0001,0.0,0.0,0.0,0.0,254.0,15.97615361213684,254.0
GAD dt=0.006 (5k),100,287,0.05,82.92682926829268,88.50174216027875,85.01742160278745,93.72822299651568,461.0,28.970473766326904,461.0
