wall_s_center,bin,fmax_med,fmax_p25,fmax_p75,n_samples_in_bin,method,noise_pm
0.9785127696844709,16,0.5432592630386353,0.4522743672132492,0.6416056901216507,286.0,GAD dt=0.003 (5k),50
1.1235718007516622,17,0.4639870226383209,0.3843928799033165,0.5487421452999115,286.0,GAD dt=0.003 (5k),50
1.290135019751871,18,0.40126125514507294,0.3292323797941208,0.47125421464443207,286.0,GAD dt=0.003 (5k),50
1.4813903019608143,19,0.35380665957927704,0.287424735724926,0.41668589413166046,286.0,GAD dt=0.003 (5k),50
1.7009981072877314,20,0.29893867671489716,0.2476850263774395,0.3582342714071274,286.0,GAD dt=0.003 (5k),50
1.953161538297272,21,0.25597912073135376,0.21439649909734726,0.31335054337978363,287.0,GAD dt=0.003 (5k),50
2.242706783940277,22,0.2210020273923874,0.18484992533922195,0.27569758892059326,287.0,GAD dt=0.003 (5k),50
2.575175488616556,23,0.1924559324979782,0.15634621679782867,0.23484864830970764,287.0,GAD dt=0.003 (5k),50
2.9569308144332584,24,0.16639108955860138,0.13539469242095947,0.2026577666401863,287.0,GAD dt=0.003 (5k),50
3.395279226598305,25,0.14140184223651886,0.11427585408091545,0.17043893039226532,287.0,GAD dt=0.003 (5k),50
3.8986103328154758,26,0.12019257992506027,0.09659483656287193,0.14995884895324707,287.0,GAD dt=0.003 (5k),50
4.476557453085672,27,0.10295037180185318,0.08131689578294754,0.12732991576194763,287.0,GAD dt=0.003 (5k),50
5.140181993080805,28,0.08569665253162384,0.06922823935747147,0.10959948971867561,287.0,GAD dt=0.003 (5k),50
5.902185149836502,29,0.07318153232336044,0.05804450809955597,0.0958576463162899,287.0,GAD dt=0.003 (5k),50
6.777151001626587,30,0.06116672232747078,0.04883144982159138,0.0818755216896534,287.0,GAD dt=0.003 (5k),50
7.781825634548344,31,0.051199398934841156,0.04143316484987736,0.06886878237128258,287.0,GAD dt=0.003 (5k),50
8.93543764805882,32,0.04372072219848633,0.0336727537214756,0.058398591354489326,287.0,GAD dt=0.003 (5k),50
10.260066173659641,33,0.037253912538290024,0.028504141606390476,0.050017574802041054,287.0,GAD dt=0.003 (5k),50
11.781063450288183,34,0.03109523467719555,0.023526900447905064,0.043352190405130386,287.0,GAD dt=0.003 (5k),50
13.527540044140883,35,0.026697929948568344,0.019364550709724426,0.0372360534965992,287.0,GAD dt=0.003 (5k),50
15.532921999614459,36,0.022255543619394302,0.016560761258006096,0.03224860690534115,287.0,GAD dt=0.003 (5k),50
17.83559058474993,37,0.019483961164951324,0.014371821656823158,0.02835598587989807,287.0,GAD dt=0.003 (5k),50
