method,noise_pm,n_total,rmsd_threshold,cutoff_scale,rmsd_intended_pct,topo_intended_pct
Sella libdef,50,281,0.4,1.3,47.686832740213525,90.0355871886121
Sella libdef,50,281,0.4,1.4,47.686832740213525,87.54448398576513
Sella libdef,50,281,0.5,1.1,56.58362989323843,91.45907473309609
Sella libdef,50,281,0.5,1.2,56.58362989323843,89.32384341637011
Sella libdef,50,281,0.5,1.3,56.58362989323843,90.0355871886121
Sella libdef,50,281,0.5,1.4,56.58362989323843,87.54448398576513
Sella libdef,50,281,0.7,1.1,61.92170818505338,91.45907473309609
Sella libdef,50,281,0.7,1.2,61.92170818505338,89.32384341637011
Sella libdef,50,281,0.7,1.3,61.92170818505338,90.0355871886121
Sella libdef,50,281,0.7,1.4,61.92170818505338,87.54448398576513
Sella libdef,100,262,0.3,1.1,40.0763358778626,82.06106870229007
Sella libdef,100,262,0.3,1.2,40.0763358778626,79.38931297709924
Sella libdef,100,262,0.3,1.3,40.0763358778626,80.53435114503817
